Name, Surname, Email, Gender, Phone, RollNo, Department, Internships, Skills, Skill Score, Aggregate Pointer, No of KT's, Domain, Performance
Rudra, Agarwal, RudraAgarwal3617@hotmail.com, Male, 9742875259, 13it27, it, 4, ['microsoft word' |  'machine learning' |  'java'], 15, 7.08, 4, web developer, high
Falguni, Mangal, FalguniMangal8515@hotmail.com, Female, 9113384783, 15it34, it, 2, ['c' |  'python' |  'microsoft word' |  'machine learning'], 24, 5.01, 1, ethical hacking, extreme high
Laranya, Malhotra, LaranyaMalhotra4555@hotmail.com, Female, 9648650014, 18it05, it, 0, ['machine learning' |  'linux' |  'java' |  'python'], 27, 6.86, 0, machine learning, moderate high
Naina, Mangal, NainaMangal3648@redmail.com, Female, 8190826280, 15co42, computer, 1, ['excell'], 2, 4.83, 3, dot net developer, moderate high
Ansh, Ghosh, AnshGhosh9626@spicemail.com, Male, 8428226893, 18it48, it, 1, ['c' |  'c' |  'ruby' |  'web scrapping' |  'java' |  'microsoft word'], 29, 8.64, 3, ethical hacking, high
Muhammad, Chopra, MuhammadChopra9875@mail.com, Male, 9629155043, 19it58, it, 3, ['microsoft word' |  'microsoft word' |  'ruby'], 10, 9.15, 5, ethical hacking, low
Nandini, Gokhale, NandiniGokhale7398@hotmail.com, Female, 8576158136, 13it43, it, 3, ['microsoft word' |  'web scrapping' |  'python' |  'java'], 23, 7.5, 1, android developer, medium
Rudra, Iyer, RudraIyer5944@gmail.com, Male, 8305377100, 16ex07, extc, 0, ['excell' |  'microsoft word' |  'microsoft word' |  'machine learning' |  'web development' |  'web scrapping'], 20, 4.56, 3, machine learning, low
Aahna, Khatri, AahnaKhatri2897@gmail.com, Female, 8394152164, 16co48, computer, 2, ['web scrapping'], 7, 5.64, 4, dot net developer, high
Arush, Ahuja, ArushAhuja3348@redmail.com, Male, 9945062513, 17it22, it, 1, ['web development' |  'ruby' |  'excell' |  'machine learning'], 19, 5.98, 5, ethical hacking, extreme high
Laasya, Laghari, LaasyaLaghari6813@mail.com, Female, 8614388568, 15it42, it, 1, ['python'], 10, 8.84, 0, web developer, extreme high
Ishita, Khanna, IshitaKhanna1869@redmail.com, Female, 8335405035, 14ex23, extc, 1, ['microsoft word' |  'web development' |  'excell' |  'microsoft word'], 4, 7.72, 1, dot net developer, low
Dulari, Chopra, DulariChopra5138@spicemail.com, Female, 9547072967, 14ex25, extc, 4, ['python' |  'c' |  'web scrapping' |  'ruby'], 29, 6.7, 3, machine learning, extreme low
Chahna, Agarwal, ChahnaAgarwal3578@gmail.com, Female, 9622789158, 18co60, computer, 0, ['excell' |  'ruby' |  'java' |  'c'], 19, 7.52, 3, android developer, low
Aditya, Ghosh, AdityaGhosh3531@hotmail.com, Male, 9824341349, 14co17, computer, 2, ['java' |  'machine learning' |  'excell'], 16, 9.49, 0, machine learning, extreme high
Kamala, Kaur, KamalaKaur2055@mail.com, Female, 8878661380, 16co59, computer, 1, ['web scrapping' |  'linux' |  'microsoft word' |  'microsoft word'], 12, 8.91, 0, ios developer, moderate high
Laranya, Grover, LaranyaGrover4843@spicemail.com, Female, 9597281952, 15co39, computer, 4, ['java'], 5, 5.14, 4, machine learning, extreme low
Ajay, Laghari, AjayLaghari2299@redmail.com, Male, 9351979988, 19it28, it, 0, ['linux' |  'python'], 13, 9.29, 3, web developer, moderate high
Mahika, Grover, MahikaGrover4045@hotmail.com, Female, 8570633904, 17ex42, extc, 3, ['web scrapping' |  'web scrapping'], 14, 7.75, 1, web developer, extreme high
Falguni, Patel, FalguniPatel9227@spicemail.com, Female, 9814405904, 19co48, computer, 4, ['python' |  'linux' |  'java'], 18, 6.52, 4, ethical hacking, low
Shaurya, Grover, ShauryaGrover5339@redmail.com, Male, 9735256064, 15it36, it, 3, ['java' |  'excell'], 7, 7.04, 1, ethical hacking, moderate low
Ishita, Laghari, IshitaLaghari8986@gmail.com, Female, 9999675701, 17ex24, extc, 3, ['web scrapping' |  'python'], 17, 9.93, 4, dot net developer, moderate low
Arnav, Gupta, ArnavGupta5818@redmail.com, Male, 8919302674, 16ex33, extc, 1, ['ruby' |  'java'], 13, 9.51, 0, ethical hacking, medium
Zaina, Anthony, ZainaAnthony3211@redmail.com, Female, 8443690024, 17co40, computer, 3, ['excell' |  'linux' |  'microsoft word' |  'excell'], 8, 7.16, 2, android developer, moderate high
Akshay, Anand, AkshayAnand2279@spicemail.com, Male, 9435352040, 16ex25, extc, 3, ['linux' |  'web scrapping' |  'java' |  'ruby'], 23, 4.48, 2, machine learning, extreme high
Krishna, Chopra, KrishnaChopra4437@mail.com, Male, 9208176549, 19ex44, extc, 1, ['linux'], 3, 9.18, 3, machine learning, moderate low
Roshni, Dhar, RoshniDhar1434@redmail.com, Female, 8617932167, 16it11, it, 4, ['web scrapping' |  'excell' |  'java' |  'web development' |  'ruby'], 22, 7.56, 0, machine learning, medium
Manish, Khatri, ManishKhatri5369@mail.com, Male, 9174513759, 19ex50, extc, 0, ['java' |  'c' |  'python' |  'microsoft word'], 20, 7.31, 3, ethical hacking, moderate low
Raahithya, Jha, RaahithyaJha1856@redmail.com, Male, 9253595158, 16ex51, extc, 4, ['microsoft word' |  'c' |  'excell' |  'c'], 11, 5.57, 3, machine learning, moderate low
Aesha, Gupta, AeshaGupta7017@hotmail.com, Female, 8955792019, 19it55, it, 3, ['ruby'], 8, 7.03, 0, machine learning, moderate high
Nandini, Iyer, NandiniIyer2790@spicemail.com, Female, 9858744757, 14co18, computer, 4, ['c' |  'linux'], 7, 9.97, 2, android developer, high
Krish, Ganguly, KrishGanguly5394@hotmail.com, Male, 9877233540, 15it40, it, 3, ['linux' |  'python'], 13, 8.94, 5, machine learning, extreme low
Chetan, Bakshi, ChetanBakshi9394@redmail.com, Male, 8838786428, 13co31, computer, 0, ['python' |  'python'], 20, 4.14, 1, ethical hacking, medium
